epoch,time,train/loss,validated,is_best,current_metric,current_metric_name,best_metric,best_metric_name,best_epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision,metrics/recall,metrics/mAP50-95,metrics/mAP50,metrics/mAP75,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP_small,metrics/mAP_medium,metrics/mAP_large,metrics/AR1,metrics/AR10,metrics/AR100,metrics/AR_max_det,metrics/max_det,metrics/AR_small,metrics/AR_medium,metrics/AR_large,speed/preprocess_ms,speed/inference_ms,speed/postprocess_ms,speed/total_ms,speed/total_s,speed/images_seen,lr/group0,lr/group1,lr/group2
1,312.5801088809967,8.879505743151126,1,1,1.7971251253391337e-05,metrics/mAP50-95,1.7971251253391337e-05,metrics/mAP50-95,1,2.782078133976978,3.4998679731203164,2.597559603660003,1.7971251253391337e-05,0.007053941908713693,1.7971251253391337e-05,9.888072112021222e-05,4.726009593799475e-06,1.7971251253391337e-05,0.007053941908713693,9.888072112021222e-05,1.7971251253391337e-05,0.0,0.0,3.9121496750548234e-05,0.0,0.0008298755186721991,0.007053941908713693,0.007053941908713693,100.0,0.0,0.0,0.015178571428571427,0.28197674811640877,7.821851138827166,25.40350413020653,38.57140752333629,6.094282388687134,158.0,0.0034,0.0034,0.0034
2,120.91734075546265,8.737859238748966,1,1,0.00047677102504429186,metrics/mAP50-95,0.00047677102504429186,metrics/mAP50-95,2,2.776035935982414,3.294179556162461,2.667643754378609,0.00047677102504429186,0.05269709543568465,0.00047677102504429186,0.0023764796886283183,6.972528238739367e-05,0.00047677102504429186,0.05269709543568465,0.0023764796886283183,0.00047677102504429186,0.0,0.0006902653945878569,0.00043125468355633366,0.0016597510373443983,0.012448132780082988,0.05269709543568465,0.05269709543568465,100.0,0.0,0.05394736842105262,0.05848214285714286,0.21638598623155036,5.257045166401924,20.510872708091252,33.91685063325906,5.358862400054932,158.0,0.0067,0.0067,0.0067
3,374.667751789093,8.238465651221897,1,1,0.00133157601363637,metrics/mAP50-95,0.00133157601363637,metrics/mAP50-95,3,2.6501507033472476,3.023920854796534,2.564394124176191,0.00133157601363637,0.09813278008298755,0.00133157601363637,0.006971199490950823,6.390542990393284e-05,0.00133157601363637,0.09813278008298755,0.006971199490950823,0.00133157601363637,0.0016423203712809423,0.0020023047565987475,0.0030854507075865926,0.003112033195020747,0.02136929460580913,0.09813278008298755,0.09813278008298755,100.0,0.08333333333333333,0.14868421052631578,0.048660714285714286,0.23855136919625197,5.00172301183773,27.20256244079976,38.28430024883415,6.048919439315796,158.0,0.01,0.01,0.01
4,120.74788546562195,7.989946443101634,1,1,0.012531147517710261,metrics/mAP50-95,0.012531147517710261,metrics/mAP50-95,4,2.5853895052619604,2.948276291722837,2.4562806564828623,0.012531147517710261,0.18485477178423237,0.012531147517710261,0.03719454519675674,0.01060862838985361,0.012531147517710261,0.18485477178423237,0.03719454519675674,0.012531147517710261,0.014227267745420475,0.019949032775784276,0.002083871684261446,0.008713692946058092,0.04854771784232365,0.18485477178423237,0.18485477178423237,100.0,0.13999999999999999,0.2872807017543859,0.08660714285714285,0.199319441107255,5.259756800494617,25.27549900586092,37.6588091065612,5.95009183883667,158.0,0.009871428571428571,0.009871428571428571,0.009871428571428571
5,120.07844996452332,7.684242657993151,1,0,0.010470350878125225,metrics/mAP50-95,0.012531147517710261,metrics/mAP50-95,4,2.4654702466467153,2.85725933831671,2.3615130471146624,0.010470350878125225,0.24336099585062237,0.010470350878125225,0.04347101357339218,0.0009335461959983904,0.010470350878125225,0.24336099585062237,0.04347101357339218,0.010470350878125225,0.01656694307102253,0.00967034866679326,0.014376326609484638,0.00933609958506224,0.06473029045643153,0.24336099585062237,0.24336099585062237,100.0,0.07666666666666667,0.2245614035087719,0.28482142857142856,0.2189995367315751,5.567232264748103,27.343313905257215,39.9988768975946,6.319822549819946,158.0,0.009742857142857143,0.009742857142857143,0.009742857142857143
6,130.85630750656128,7.66345407133517,1,1,0.024023640379595482,metrics/mAP50-95,0.024023640379595482,metrics/mAP50-95,6,2.478623338367628,2.832207703072092,2.3526229832483376,0.024023640379595482,0.2825726141078838,0.024023640379595482,0.09328451878702076,0.00229503867881034,0.024023640379595482,0.2825726141078838,0.09328451878702076,0.024023640379595482,0.0051702986648666975,0.026445989451669184,0.026753042571209612,0.01701244813278008,0.09564315352697096,0.2825726141078838,0.2825726141078838,100.0,0.06999999999999999,0.24605263157894738,0.3482142857142857,0.21690205682682084,5.732258663901799,72.95572908618782,84.27029621752003,13.314706802368164,158.0,0.009614285714285714,0.009614285714285714,0.009614285714285714
7,156.61544752120972,7.432510116825933,1,1,0.02653332235271686,metrics/mAP50-95,0.02653332235271686,metrics/mAP50-95,7,2.428399091181548,2.763793890890868,2.2403171503025554,0.02653332235271686,0.32219917012448135,0.02653332235271686,0.09759517597518305,0.004367801163043863,0.02653332235271686,0.32219917012448135,0.09759517597518305,0.02653332235271686,0.009592121497498093,0.04204325716125324,0.023237750012638305,0.025726141078838173,0.12282157676348548,0.32219917012448135,0.32219917012448135,100.0,0.08,0.29824561403508776,0.3790178571428572,0.42459783674795415,7.066486757012862,42.22802119919016,54.31286745433566,8.581433057785034,158.0,0.009485714285714287,0.009485714285714287,0.009485714285714287
8,76.75279259681702,7.456707182137863,1,0,0.01345113824204349,metrics/mAP50-95,0.02653332235271686,metrics/mAP50-95,7,2.3927380701769954,2.7387672403584356,2.325201900109001,0.01345113824204349,0.2556016597510373,0.01345113824204349,0.04905748746615405,0.0023499820397868804,0.01345113824204349,0.2556016597510373,0.04905748746615405,0.01345113824204349,0.0047588461817955055,0.020869851255325072,0.02362455751449859,0.010788381742738589,0.07095435684647303,0.2556016597510373,0.2556016597510373,100.0,0.08666666666666666,0.3157894736842105,0.21696428571428572,0.3455228443387189,7.645196552518048,9.637014775336542,20.552188535279864,3.2472457885742188,158.0,0.009357142857142857,0.009357142857142857,0.009357142857142857
9,60.250651121139526,7.154745423275491,1,1,0.04402944876706104,metrics/mAP50-95,0.04402944876706104,metrics/mAP50-95,9,2.320861903221711,2.638212245443593,2.1956712784974473,0.04402944876706104,0.34647302904564314,0.04402944876706104,0.14993668532770588,0.020036724134842587,0.04402944876706104,0.34647302904564314,0.14993668532770588,0.04402944876706104,0.010136531024044498,0.0485426848229689,0.05467697454251783,0.03091286307053942,0.15331950207468878,0.34647302904564314,0.34647302904564314,100.0,0.13,0.3521929824561404,0.3696428571428571,0.23485588122017775,5.281351789643493,34.982577154908,46.16486271725425,7.294048309326172,158.0,0.009228571428571428,0.009228571428571428,0.009228571428571428
10,124.45208764076233,7.0895771721135015,1,0,0.030503560269086294,metrics/mAP50-95,0.04402944876706104,metrics/mAP50-95,9,2.3209909472776498,2.5995518798413486,2.1690343424029974,0.030503560269086294,0.35290456431535266,0.030503560269086294,0.0968819911912159,0.009014983742027369,0.030503560269086294,0.35290456431535266,0.0968819911912159,0.030503560269086294,0.007453023588922741,0.06574147493570967,0.02218099084046704,0.03195020746887967,0.14398340248962654,0.35290456431535266,0.35290456431535266,100.0,0.16,0.35219298245614034,0.3794642857142857,0.2872838249689416,5.787084374246718,53.59102653551705,64.13168243215053,10.132805824279785,158.0,0.0091,0.0091,0.0091
